symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
ADBE,2024-11-29,2024,FY,48.1096196868009,12.438478747203579,18.022371364653242,17.503355704697988,17.6420581655481,31.55480984340045,1.196868008948546,31.55480984340045,13.548098434004475,230620709999.99997,229063709999.99997,41.47854496402878,10.724050685887002,28.627198361469713,29.476062116564414,16.350280751506556,16.350280751506556,10.651648918856079,28.787697624732935,28.433926266137036,29.27705904907975,0.024108849547813813,0.033925834327714975,0.4293512938674229,0.20033079722130334,-0.19567676259896946,1.067579127459367,0.0,1.4489208633093524,0.0,0.0,0.0710997442455243,0.183399209486166,0.4488918293086338,0.028798411122144985,0.010788188793303883,0.2595078299776286,0.08746803069053709,93.97399220639029,0.2540799380402225,0.33373349339735897,-14.955257270693512,711000000.0,535000000.0,-4893000000.0,16498000000.0,2148000000.0,337500000.0,0.0,35.16763543362009,55.879983036471586,0.0,10.378861003861005,6.531855955678671,0.0,0.3941864587025877,0.5190156599552572
ADBE,2023-12-01,2023,FY,42.47045951859956,11.87746170678337,15.978118161925602,15.190371991247265,17.159737417943106,36.14442013129103,5.743982494529541,36.14442013129103,9.175054704595185,279898790000.0,276837790000.0,51.56573139277819,14.421082487505796,38.33179813749658,40.3196182656295,16.9450774912217,16.9450774912217,14.26337214694214,41.62974285714286,37.91259791837852,39.87867905502737,0.019392724062865723,0.024801822115772632,0.24700326916091536,0.13700930185701332,-0.46030075187969927,1.3433523209307963,58.849557522123895,1.345246868091378,0.0,0.0,0.07280127775774126,0.17893760626513472,0.46653682124987406,0.049301561216105176,0.01854809624401051,0.41284403669724773,0.08851563707558349,98.28193748356932,0.24682902263517503,0.3416845020773008,-8.207877461706783,2833000000.0,2625000000.0,-2177000000.0,19114000000.0,2144500000.0,346500000.0,0.0,41.82389613066103,48.68734069668649,0.0,8.72706834532374,7.496815286624204,0.0,0.32861121201113935,0.787746170678337
ADBE,2022-12-02,2022,FY,37.45957446808511,10.119148936170212,16.676595744680853,15.736170212765957,12.970212765957447,29.895744680851063,-0.39361702127659576,29.895744680851063,10.095744680851064,160519100000.0,160916100000.0,33.75086206896552,9.117295240259002,20.479599387598874,21.70350189291509,11.424033876592413,11.424033876592413,9.139844371237078,22.80880226789511,20.530250063791783,21.757179556517038,0.029628872825726037,0.04607551375506092,0.32972742153583373,0.17055034051168783,0.05627214741318214,1.106791338582677,54.44642857142857,1.6480235492010094,0.0,0.0,0.06923775985459503,0.16965807111212086,0.524056690594515,0.05639193671855065,0.02510507781438146,0.5163551401869159,0.08179029876178576,82.50265809125868,0.2459868022145225,0.36785520921958387,-11.636702127659575,868000000.0,-185000000.0,-4118000000.0,17419000000.0,1971500000.0,345500000.0,0.0,42.810689537657616,63.89607390300231,0.0,8.52590799031477,5.712401055408971,0.0,0.3384812468863426,0.9404255319148936
ADBE,2021-12-03,2021,FY,33.092243186582806,10.10901467505241,15.142557651991615,14.450733752620545,12.155136268343815,31.020964360587,0.5366876310272537,31.020964360587,10.033542976939204,294084810000.0,294913810000.0,60.98813977602654,18.63064998416218,40.71505053301952,42.66426954881764,19.874623910252076,19.874623910252076,18.683168197656002,44.18184419475656,40.829822788315106,42.78453648629044,0.016396630618222004,0.023438816850146052,0.3158072582280192,0.17154289490106825,0.12419475655430712,1.2479803808424696,51.34513274336283,1.4979261717129821,0.0,0.0,0.06873614190687362,0.1609122584732341,0.5337909768363863,0.04568738751211408,0.020905923344947737,0.41878172588832485,0.06772252138105797,83.9988460575362,0.23918385984257537,0.37968503937007875,-10.980083857442349,1719000000.0,256000000.0,-3793000000.0,18376000000.0,1638000000.0,309000000.0,0.0,43.425403864428255,61.061662198391424,0.0,8.405218317358893,5.977564102564102,0.0,0.3258768669324863,0.6918238993710691
ADBE,2020-11-27,2020,FY,26.752598752598754,10.935550935550935,11.906444906444907,11.035343035343036,12.457380457380458,27.575883575883577,2.417879417879418,27.575883575883577,10.029106029106028,229451430000.0,229681430000.0,43.62194486692015,17.831164905191173,40.06485594552121,43.227473624717405,17.298811067551267,17.298811067551267,17.84903870065278,44.74604130138321,40.105016588091495,43.270804446119065,0.02292424152684514,0.023133436126329655,0.35494571773220746,0.19387250864766925,0.04480810442236509,1.477866473149492,36.525862068965516,1.0887832699619773,0.0,0.0,0.07522536524712466,0.1700341933478396,0.4983116455279196,0.07316221407368605,0.03256139260180292,0.5535006605019815,0.07064034815045073,82.37137419838393,0.2815379980580154,0.4317491586637117,-8.273388773388774,2634000000.0,1163000000.0,-2874000000.0,16739000000.0,1466404500.0,257500000.0,0.0,39.654180913894926,64.86062717770035,0.0,9.204577968526467,5.627450980392157,0.0,0.396562123039807,0.8711018711018711
AMD,2024-12-28,2024,FY,15.916666666666666,1.012962962962963,1.8771604938271604,1.4845679012345678,3.167901234567901,35.5358024691358,8.517901234567901,35.5358024691358,0.35987654320987655,202807800000.0,199511800000.0,123.58793418647164,7.865340314136126,66.69115422558369,84.32756756756757,3.5229259310728183,3.5229259310728183,7.737514058561179,105.00621052631578,65.60730023018743,82.95708939708939,0.008091404768455651,0.011858518262118124,0.008529043913285158,0.007092710831190593,-1.7347368421052631,2.6162615025408598,20.652173913043477,1.8531383302864106,0.0,0.0,0.0,0.2503781268179174,0.6322624447461936,0.20914172969417955,0.024665503199534613,0.20018885741265344,0.05456660849331006,28.45909634210218,0.024796969335055777,0.0644616411988844,0.6080246913580247,11768000000.0,13799000000.0,7391000000.0,57962000000.0,5788500000.0,2022500000.0,5042500000.0,87.65095986038394,55.61638591117917,160.25344563552832,4.164244186046512,6.562814070351759,2.2776421346355074,0.028505419677598665,0.3925925925925926
AMD,2023-12-30,2023,FY,14.052044609665428,0.5291201982651796,1.0328376703841389,0.69454770755886,3.5768277571251548,34.62949194547708,6.3612143742255265,34.62949194547708,1.926270136307311,237919740000.0,236989740000.0,278.59454332552696,10.49028835978836,142.72329934013194,212.23884032114185,4.256776282831174,4.256776282831174,10.44928306878307,57.11972523499639,142.16541091781644,211.40922390722568,0.003589445751748047,0.004711672936428058,0.05372861948042654,0.04423657656330559,-0.22415039768618944,2.506802212587831,3.7830188679245285,1.9519906323185012,0.0,0.0,0.0730599647266314,0.2589065255731922,0.6720925093908816,0.3275344931013797,0.024074074074074074,0.1537595043649676,0.06102292768959436,20.304462120191676,0.011025619723968075,0.038364779874213835,-0.0035625774473358116,10079000000.0,10267000000.0,4775000000.0,57926000000.0,4756500000.0,2274000000.0,4061000000.0,86.6633597883598,61.38093289689034,129.96031096563013,4.211699164345404,5.9464720194647205,2.8085497586761665,0.015279467544550203,0.3382899628252788
AMD,2022-12-31,2022,FY,15.018818185914224,0.8400000002290909,2.268636364255083,1.9822727278133472,3.725909091925248,34.84090910041116,4.107727273847562,34.84090910041116,2.076454546020851,101781428543.67,100121428543.67,77.10714283611362,4.3125896590682595,28.55019033483029,32.67461590486998,1.8590215259117806,1.8590215259117806,4.24225365635651,18.092054308577882,28.084552186162693,32.14171060791974,0.012968967117941809,0.030604797403324797,0.05799086757990868,0.04698135543060077,-0.2999638597759306,2.358140995446695,14.363636363636363,2.7007575757575757,0.0,0.0,0.07003940510995296,0.21206728528452184,0.7146345072506659,0.12622720897615708,0.019066988686920045,0.10558423275457532,0.045803143934579044,25.661121997632137,0.022777658317022158,0.06844697951775992,-1.2685909094368883,8650000000.0,6455000000.0,2189000000.0,58918000000.0,3418000000.0,1907000000.0,2863000000.0,63.84136265412482,78.78311688311689,119.17012987012987,5.717296511627907,4.632972322503009,3.0628480509148766,0.02410958904109589,0.2863636364417355
AMD,2021-12-25,2021,FY,13.357172681520298,2.570000001154143,2.8617868450549455,2.6171410511436877,2.9324984200392623,6.093387099510629,5.858494626286864,6.093387099510629,0.5648798231505785,179803377351.15997,177929377351.15997,56.86381320403542,10.940938137468661,51.065997543641004,55.83955818359006,23.98337699762038,23.98337699762038,10.826906252352439,42.70988414574171,50.53376238317523,55.2575706059503,0.01758587656462394,0.017908451150565812,0.08816860077364279,0.05322489733472904,-0.4498319731156985,2.024292452830189,107.29411764705883,1.1135357368753953,0.0,0.0,0.0529390288426433,0.17311670926128758,0.02327079474997987,0.08548707753479125,0.018315686990385785,0.6501079913606912,0.023061944748691738,18.77099116156194,0.3695602664472883,0.2606760098928277,1.3772501587462667,4343000000.0,7208000000.0,3661000000.0,5701000000.0,2392000000.0,894500000.0,1677000000.0,60.14482171108677,56.69194591416814,83.90064667842445,6.068685376661743,6.438304314912945,4.350383631713555,0.4217687074829932,0.24464579391125776
AMD,2020-12-26,2020,FY,8.09189591642684,2.0637940010143225,0.8876800703157989,0.6440031882683247,1.8980274145874692,4.837897824867711,4.598365107480908,4.837897824867711,0.47906543477360575,110770212476.46,109706212476.46,44.486029107012044,11.345919540762061,103.42690240565827,142.56140601861006,18.977250724080864,18.977250724080864,11.236936646159993,65.45716734872316,102.43343835337069,141.1920366492407,0.02247896744378959,0.007014521166194583,0.09097138941236937,0.05925016737335416,-0.6348448687350835,2.5415804716590813,29.127659574468087,0.43012048192771085,0.0,0.0,0.06975314964662502,0.20311379698863055,0.03224726623521535,0.27450980392156865,0.030113694561098022,0.8305084745762712,0.028065143910683193,14.98831382914202,0.40767117542204045,0.28709789000345903,1.178186013028859,3726000000.0,5548000000.0,3018000000.0,4864000000.0,1967500000.0,728000000.0,1190500000.0,77.61343849226672,31.539881831610042,94.28268094534711,4.702793834296725,11.572649572649572,3.8713366690493207,0.4265890011992462,0.2436768820474742
